auto,wage,number,id,job_name
0.0028,48190,18100,0,Recreational Therapists
0.003,66730,453330,1,"First-Line Supervisors of Mechanics, Installers, and Repairers"
0.003,78060,9570,2,Emergency Management Directors
0.0031,47880,114040,3,Mental Health and Substance Abuse Social Workers
0.0033,79290,12310,4,Audiologists
0.0035,83730,118070,5,Occupational Therapists
0.0035,69920,7500,6,Orthotists and Prosthetists
0.0035,55510,159310,7,Healthcare Social Workers
0.0036,232870,5380,8,Oral and Maxillofacial Surgeons
0.0036,77050,57170,9,First-Line Supervisors of Fire Fighting and Prevention Workers
0.0039,59670,61430,10,Dietitians and Nutritionists
0.0039,59410,35410,11,Lodging Managers
0.004,53610,5160,12,Choreographers
0.0041,108880,74330,13,Sales Engineers
0.0042,65500,147330,14,Instructional Coordinators
0.0043,94650,13310,15,"Psychologists, All Other"
0.0044,88400,100200,16,First-Line Supervisors of Police and Detectives
0.0044,173860,105620,17,"Dentists, General"
0.0044,59020,1392660,18,"Elementary School Teachers, Except Special Education"
0.0045,95000,108870,19,"Medical Scientists, Except Epidemiologists"
0.0046,95390,242970,20,"Education Administrators, Elementary and Secondary School"
0.0046,144110,9800,21,Podiatrists
0.0047,78690,107980,22,"Clinical, Counseling, and School Psychologists"
0.0048,46050,139820,23,Mental Health Counselors
0.0049,48460,5310,24,Fabric and Apparel Patternmakers
0.0055,57600,12060,25,Set and Exhibit Designers
0.0055,120210,129810,26,Human Resources Managers
0.0061,27230,336880,27,Recreation Workers
0.0063,115180,32880,28,Training and Development Managers
0.0064,78210,135980,29,Speech-Language Pathologists
0.0065,91620,568960,30,Computer Systems Analysts
0.0067,70870,126230,31,Social and Community Service Managers
0.0068,58910,11170,32,Curators
0.0071,47880,24130,33,Athletic Trainers
0.0073,109370,332150,34,Medical and Health Services Managers
0.0074,33300,385550,35,"Preschool Teachers, Except Special Education"
0.0075,52150,8620,36,Farm and Home Management Advisors
0.0077,66440,6470,37,Anthropologists and Archeologists
0.0077,64020,132490,38,"Special Education Teachers, Secondary School"
0.0078,61420,1003250,39,"Secondary School Teachers, Except Special and Career/Technical Education"
0.0081,49450,49320,40,Clergy
0.0081,60300,8420,41,Foresters
0.0085,57620,260670,42,"Educational, Guidance, School, and Vocational Counselors"
0.0088,59480,80100,43,"Career/Technical Education Teachers, Secondary School"
0.009,72180,18100,44,Registered Nurses
0.0094,38740,103030,45,Rehabilitation Counselors
0.0095,60690,14800,46,Forensic Science Technicians
0.01,71590,3600,47,"Makeup Artists, Theatrical and Performance"
0.01,99860,8120,48,Marine Engineers and Naval Architects
0.01,105770,138430,49,"Education Administrators, Postsecondary"
0.011,89800,285790,50,Mechanical Engineers
0.012,120270,305510,51,Pharmacists
0.012,77810,146060,52,Logisticians
0.012,76850,21670,53,Microbiologists
0.012,104570,1020,54,Industrial-Organizational Psychologists
0.013,41000,230930,55,Coaches and Scouts
0.013,135090,365230,56,Sales Managers
0.014,83740,6300,57,Hydrologists
0.014,144140,205900,58,Marketing Managers
0.014,54090,36960,59,Marriage and Family Therapists
0.014,99250,123390,60,"Engineers, All Other"
0.014,63350,269710,61,Training and Development Specialists
0.014,57890,1443150,62,First-Line Supervisors of Office and Administrative Support Workers
0.015,77830,35110,63,"Biological Scientists, All Other"
0.015,123360,63970,64,Public Relations and Fundraising Managers
0.015,72200,29810,65,Multimedia Artists and Animators
0.015,116320,26580,66,Computer and Information Research Scientists
0.015,194350,223260,67,Chief Executives
0.015,52150,48530,68,"Education Administrators, Preschool and Childcare Center/Program"
0.015,60630,18380,69,Music Directors and Composers
0.016,61450,610480,70,First-Line Supervisors of Production and Operating Workers
0.016,102260,353780,71,"Securities, Commodities, and Financial Services Sales Agents"
0.016,65130,20470,72,Conservation Scientists
0.016,61910,90250,73,"Special Education Teachers, Middle School"
0.017,105420,31990,74,Chemical Engineers
0.017,143870,178390,75,Architectural and Engineering Managers
0.017,112010,68510,76,Aerospace Engineers
0.018,136150,54780,77,Natural Sciences Managers
0.018,88530,52280,78,Environmental Engineers
0.018,84470,99860,79,"Architects, Except Landscape and Naval"
0.018,56850,85580,80,Physical Therapist Assistants
0.019,89730,287800,81,Civil Engineers
0.02,84800,36280,82,"Health Diagnosing and Treating Practitioners, All Other"
0.021,69290,14690,83,Soil and Plant Scientists
0.021,101570,7750,84,Materials Scientists
0.021,97050,26800,85,Materials Engineers
0.021,76480,19230,86,Fashion Designers
0.021,87220,216920,87,Physical Therapists
0.021,42640,48660,88,Photographers
0.022,93840,114510,89,Producers and Directors
0.022,56220,53160,90,Interior Designers
0.023,228780,5200,91,Orthodontists
0.023,101170,36210,92,Art Directors
0.025,65100,43230,93,First-Line Supervisors of Correctional Officers
0.025,44840,20590,94,"Directors, Religious Activities and Education"
0.025,103760,132100,95,"Electronics Engineers, Except Computer"
0.027,94340,29200,96,Biochemists and Biophysicists
0.027,81210,32960,97,Chiropractors
0.028,59530,38170,98,Occupational Therapy Assistants
0.028,47510,298840,99,"Child, Family, and School Social Workers"
0.028,90190,25410,100,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
0.029,88530,256550,101,Industrial Engineers
0.029,59800,202760,102,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
0.029,33870,99390,103,Veterinary Technologists and Technicians
0.03,107060,168400,104,Industrial Production Managers
0.03,56920,63220,105,Industrial Engineering Technicians
0.03,84500,376820,106,Network and Computer Systems Administrators
0.03,87130,113730,107,Database Administrators
0.03,117720,71750,108,Purchasing Managers
0.033,75360,84250,109,"Environmental Scientists and Specialists, Including Health"
0.033,44160,91040,110,Substance Abuse and Behavioral Disorder Counselors
0.035,139880,619530,111,Lawyers
0.035,38900,5070,112,Craft Artists
0.035,84340,109150,113,Operations Research Analysts
0.035,145740,352510,114,Computer and Information Systems Managers
0.037,70880,31860,115,Commercial and Industrial Designers
0.037,89970,20590,116,Biomedical Engineers
0.037,52020,95850,117,"Meeting, Convention, and Event Planners"
0.038,100560,67650,118,Veterinarians
0.038,71920,44690,119,Writers and Authors
0.039,117810,28860,120,Advertising and Promotions Managers
0.039,112250,6350,121,Political Scientists
0.04,49480,34110,122,Credit Counselors
0.04,80860,36380,123,"Social Scientists and Related Workers, All Other"
0.041,110380,1830,124,Astronomers
0.041,74120,9750,125,Ship Engineers
0.042,104300,794000,126,"Software Developers, Applications"
0.042,57410,11520,127,"Fine Artists, Including Painters, Sculptors, and Illustrators"
0.043,35870,61720,128,Psychiatric Technicians
0.045,68820,19420,129,Landscape Architects
0.045,57900,57570,130,Health Educators
0.047,105600,2730,131,Mathematicians
0.047,27610,43990,132,Floral Designers
0.047,75790,4560,133,"Farmers, Ranchers, and Other Agricultural Managers"
0.048,44300,1650,134,Forest Fire Inspectors and Prevention Specialists
0.049,36110,244960,135,Emergency Medical Technicians and Paramedics
0.055,66080,97170,136,Editors
0.055,168140,750,137,Prosthodontists
0.057,35930,3030,138,Travel Guides
0.058,44840,702400,139,Licensed Practical and Licensed Vocational Nurses
0.059,86840,2870,140,Sociologists
0.06,72730,6300,141,"Arbitrators, Mediators, and Conciliators"
0.061,72890,2470,142,Animal Scientists
0.064,27690,110330,143,Residential Advisors
0.066,51900,7460,144,Aircraft Cargo Handling Supervisors
0.066,60640,126770,145,Respiratory Therapists
0.067,78200,5070,146,Broadcast News Analysts
0.069,139720,543300,147,Financial Managers
0.07,105950,17680,148,Nuclear Engineers
0.071,99510,249650,149,Construction Managers
0.074,61862,40110,150,Musicians and Singers
0.075,85830,252670,151,First-Line Supervisors of Non-Retail Sales Workers
0.076,39830,190420,152,First-Line Supervisors of Personal Service Workers
0.077,71270,14200,153,Food Scientists and Technologists
0.08,70250,273910,154,Compliance Officers
0.08,54760,6610,155,Fish and Game Wardens
0.082,52290,210710,156,Graphic Designers
0.083,56010,201470,157,Food Service Managers
0.084,22930,569370,158,Childcare Workers
0.085,42780,257410,159,Fitness Trainers and Aerobics Instructors
0.091,79690,4280,160,Gaming Managers
0.097,67160,117670,161,Electrical Power-Line Installers and Repairers
0.098,62760,657690,162,Police and Sheriff's Patrol Officers
0.099,39900,68680,163,Travel Agents
0.1,47390,134190,164,Chefs and Head Cooks
0.1,34580,13590,165,Animal Trainers
0.1,48170,29210,166,Radio and Television Announcers
0.1,98620,183770,167,Electrical Engineers
0.1,80820,86660,168,Chemists
0.1,50520,10600,169,Respiratory Therapy Technicians
0.1,121770,16680,170,Physicists
0.11,29590,352380,171,"Hairdressers, Hairstylists, and Cosmetologists"
0.11,49770,40090,172,Reporters and Correspondents
0.11,118200,23240,173,Air Traffic Controllers
