choreographers,dentists,nurses,chiropractors,farmers,construction_managers,firefighters,geographers,truckers,embalmers,pipelayers,skills,choreographers_difference,dentists_difference,nurses_difference,chiropractors_difference,farmers_difference,construction_managers_difference,firefighters_difference,geographers_difference,embalmers_difference,pipelayers_difference
0,16,16,13,16.0,13,6.0,16,3,0,0,Programming,3,13,13,10,13.0,10,3.0,13,3,3
19,46,52,55,39.0,53,44.0,66,32,47,23,Computers and Electronics,13,14,20,23,7.0,21,12.0,34,15,9
5,40,11,30,47.66666667,76,40.0,24,19,31,39,Engineering and Technology,14,21,8,11,28.66666667,57,21.0,5,12,20
38,47,47,53,52.0,53,42.5,63,25,28,25,Systems Analysis,13,22,22,28,27.0,28,17.5,38,3,0
10,69,47,60,47.0,28,23.5,66,0,41,10,Science,10,69,47,60,47.0,28,23.5,66,41,10
41,44,47,53,54.0,53,42.5,50,28,28,25,Systems Evaluation,13,16,19,25,26.0,25,14.5,22,0,3
39,38,3,21,42.0,71,33.0,39,15,14,55,Design,24,23,12,6,27.0,56,18.0,24,1,40
44,35,25,28,34.33333333,60,17.0,41,22,25,10,Operations Analysis,22,13,3,6,12.33333333,38,5.0,19,3,12
72,56,50,50,52.0,53,53.0,60,31,38,31,Fluency of Ideas,41,25,19,19,21.0,22,22.0,29,7,0
19,25,19,19,19.0,22,19.0,22,16,16,16,Technology Design,3,9,3,3,3.0,6,3.0,6,0,0
16,50,47,38,42.66666667,53,31.5,50,28,25,28,Mathematical Reasoning,12,22,19,10,14.66666667,25,3.5,22,3,0
28,34,56,41,66.0,71,51.0,61,39,45,67,Mathematics,11,5,17,2,27.0,32,12.0,22,6,28
78,53,47,47,51.0,50,50.0,56,31,31,31,Originality,47,22,16,16,20.0,19,19.0,25,0,0
56,78,75,75,69.0,63,62.5,75,50,53,47,Inductive Reasoning,6,28,25,25,19.0,13,12.5,25,3,3
66,78,69,63,69.0,63,59.5,69,47,53,44,Judgment and Decision Making,19,31,22,16,22.0,16,12.5,22,6,3
13,44,47,35,43.0,56,34.5,47,25,25,28,Mathematics.1,12,19,22,10,18.0,31,9.5,22,0,3
63,78,75,75,70.0,75,69.0,75,53,60,50,Deductive Reasoning,10,25,22,22,17.0,22,16.0,22,7,3
81,75,78,75,75.0,72,72.0,75,47,60,56,Oral Expression,34,28,31,28,28.0,25,25.0,28,13,9
22,50,47,31,49.0,53,28.0,50,31,25,28,Number Facility,9,19,16,0,18.0,22,3.0,19,6,3
53,75,60,66,60.66666667,69,55.0,66,47,50,38,Complex Problem Solving,6,28,13,19,13.66666667,22,8.0,19,3,9
63,63,47,47,62.66666667,69,45.5,44,28,44,31,Management of Personnel Resources,35,35,19,19,34.66666667,41,17.5,16,16,3
53,69,50,50,56.33333333,53,48.5,41,28,35,31,Persuasion,25,41,22,22,28.33333333,25,20.5,13,7,3
56,72,69,69,64.0,75,56.0,69,53,53,50,Information Ordering,3,19,16,16,11.0,22,3.0,16,0,3
66,78,72,72,72.0,72,66.0,72,50,56,50,Critical Thinking,16,28,22,22,22.0,22,16.0,22,6,0
50,69,60,53,59.33333333,56,51.5,69,50,44,50,Category Flexibility,0,19,10,3,9.33333333,6,1.5,19,6,0
69,75,75,75,65.66666667,72,58.0,75,47,50,50,Written Comprehension,22,28,28,28,18.66666667,25,11.0,28,3,3
47,44,50,44,34.66666667,38,42.5,41,25,28,25,Memorization,22,19,25,19,9.66666667,13,17.5,16,3,0
56,53,47,41,56.33333333,66,47.0,44,31,31,31,Negotiation,25,22,16,10,25.33333333,35,16.0,13,0,0
60,53,53,47,51.0,47,51.5,56,38,35,28,Learning Strategies,22,15,15,9,13.0,9,13.5,18,3,10
69,81,78,75,73.0,78,75.0,69,63,69,53,Problem Sensitivity,6,18,15,12,10.0,15,12.0,6,6,10
44,63,53,53,51.0,53,61.0,56,44,41,38,Flexibility of Closure,0,19,9,9,7.0,9,17.0,12,3,6
53,60,69,72,66.66666667,63,56.5,75,44,47,41,Written Expression,9,16,25,28,22.66666667,19,12.5,31,3,3
28,47,47,47,38.0,50,48.5,31,35,25,31,Speed of Closure,7,12,12,12,3.0,15,13.5,4,10,4
75,56,56,47,55.33333333,47,58.0,56,38,41,31,Instructing,37,18,18,9,17.33333333,9,20.0,18,3,7
54,73,76,78,59.66666667,80,69.0,79,62,74,38,English Language,8,11,14,16,2.33333333,18,7.0,17,12,24
16,19,21,23,21.66666667,38,61.5,18,38,24,34,Telecommunications,22,19,17,15,16.33333333,0,23.5,20,14,4
81,75,78,75,75.0,72,73.5,75,50,66,66,Oral Comprehension,31,25,28,25,25.0,22,23.5,25,16,16
63,72,72,66,61.66666667,63,64.5,66,47,53,50,Speech Recognition,16,25,25,19,14.66666667,16,17.5,19,6,3
