job_compared,job_selected,skills,difference,job_compared_name
0,3,Programming,3,choreographer
19,32,Computers and Electronics,14,choreographer
5,19,Engineering and Technology,16,choreographer
38,25,Systems Analysis,16,choreographer
10,0,Science,14,choreographer
41,28,Systems Evaluation,18,choreographer
39,15,Design,30,choreographer
44,22,Operations Analysis,29,choreographer
72,31,Fluency of Ideas,49,choreographer
19,16,Technology Design,12,choreographer
16,28,Mathematical Reasoning,22,choreographer
28,39,Mathematics,22,choreographer
78,31,Originality,59,choreographer
56,50,Inductive Reasoning,19,choreographer
66,47,Judgment and Decision Making,33,choreographer
13,25,Mathematics.1,27,choreographer
63,53,Deductive Reasoning,26,choreographer
81,47,Oral Expression,51,choreographer
22,31,Number Facility,27,choreographer
53,47,Complex Problem Solving,25,choreographer
63,28,Management of Personnel Resources,55,choreographer
53,28,Persuasion,46,choreographer
56,53,Information Ordering,25,choreographer
66,50,Critical Thinking,39,choreographer
50,50,Category Flexibility,24,choreographer
69,47,Written Comprehension,47,choreographer
47,25,Memorization,48,choreographer
56,31,Negotiation,52,choreographer
60,38,Learning Strategies,50,choreographer
69,63,Problem Sensitivity,35,choreographer
44,44,Flexibility of Closure,30,choreographer
53,44,Written Expression,40,choreographer
28,35,Speed of Closure,39,choreographer
75,38,Instructing,70,choreographer
54,62,English Language,42,choreographer
16,38,Telecommunications,57,choreographer
81,50,Oral Comprehension,67,choreographer
63,47,Speech Recognition,53,choreographer
78,50,Speaking,66,choreographer
78,47,Active Listening,70,choreographer
60,44,Active Learning,56,choreographer
50,44,Writing,47,choreographer
3,41,Quality Control Analysis,80,choreographer
69,50,Speech Clarity,62,choreographer
66,50,Reading Comprehension,60,choreographer
75,47,Coordination,73,choreographer
56,44,Service Orientation,58,choreographer
69,44,Social Perceptiveness,72,choreographer
0,16,Installation,64,choreographer
60,53,Selective Attention,56,choreographer
38,47,Perceptual Speed,59,choreographer
50,29,Communications and Media,72,choreographer
72,50,Monitoring,74,choreographer
16,25,Management of Financial Resources,62,choreographer
16,25,Management of Material Resources,63,choreographer
57,39,Administration and Management,73,choreographer
97,1,Fine Arts,152,choreographer
53,72,Near Vision,76,choreographer
0,50,Troubleshooting,108,choreographer
39,24,Personnel and Human Resources,74,choreographer
51,5,History and Archeology,106,choreographer
43,6,Philosophy and Theology,98,choreographer
22,19,Physics,65,choreographer
29,7,Therapy and Counseling,85,choreographer
72,53,Time Management,83,choreographer
53,11,Sociology and Anthropology,107,choreographer
39,25,Sales and Marketing,80,choreographer
17,18,Economics and Accounting,68,choreographer
12,9,Biology,71,choreographer
53,50,Visualization,72,choreographer
31,47,Finger Dexterity,86,choreographer
47,47,Time Sharing,71,choreographer
3,31,Equipment Selection,100,choreographer
38,10,Dynamic Flexibility,101,choreographer
34,15,Foreign Language,93,choreographer
16,13,Explosive Strength,78,choreographer
11,22,Production and Processing,87,choreographer
11,15,Building and Construction,81,choreographer
19,14,Medicine and Dentistry,83,choreographer
28,67,Customer and Personal Service,118,choreographer
0,16,Food Production,96,choreographer
68,46,Education and Training,103,choreographer
5,27,Chemistry,104,choreographer
35,47,Visual Color Discrimination,95,choreographer
62,30,Psychology,116,choreographer
25,47,Auditory Attention,107,choreographer
27,32,Clerical,91,choreographer
16,39,Law and Government,110,choreographer
25,50,Hearing Sensitivity,113,choreographer
13,69,Operation Monitoring,145,choreographer
50,53,Arm-Hand Steadiness,93,choreographer
25,53,Manual Dexterity,119,choreographer
3,41,Wrist-Finger Speed,130,choreographer
63,47,Trunk Strength,109,choreographer
18,49,Geography,125,choreographer
60,44,Dynamic Strength,111,choreographer
72,41,Gross Body Equilibrium,127,choreographer
63,41,Stamina,119,choreographer
0,47,Equipment Maintenance,145,choreographer
44,75,Far Vision,130,choreographer
66,44,Extent Flexibility,122,choreographer
85,44,Gross Body Coordination,142,choreographer
0,44,Sound Localization,146,choreographer
44,44,Speed of Limb Movement,103,choreographer
0,47,Repairing,151,choreographer
16,47,Glare Sensitivity,136,choreographer
0,72,Operation and Control,178,choreographer
0,75,Control Precision,182,choreographer
22,69,Depth Perception,155,choreographer
0,50,Night Vision,159,choreographer
10,50,Peripheral Vision,150,choreographer
38,50,Static Strength,123,choreographer
8,55,Mechanical,159,choreographer
13,68,Public Safety and Security,168,choreographer
20,75,Transportation,169,choreographer
3,69,Rate Control,181,choreographer
25,69,Spatial Orientation,160,choreographer
66,72,Multilimb Coordination,123,choreographer
10,72,Reaction Time,180,choreographer
16,72,Response Orientation,175,choreographer
