job_compared,job_selected,skills,difference,job_compared_name
13,3,Programming,10,Construction_Managers
53,32,Computers and Electronics,22,Construction_Managers
76,19,Engineering and Technology,59,Construction_Managers
53,25,Systems Analysis,31,Construction_Managers
28,0,Science,32,Construction_Managers
53,28,Systems Evaluation,30,Construction_Managers
71,15,Design,62,Construction_Managers
60,22,Operations Analysis,45,Construction_Managers
22,16,Technology Design,14,Construction_Managers
71,39,Mathematics,41,Construction_Managers
63,47,Judgment and Decision Making,26,Construction_Managers
56,25,Mathematics.1,42,Construction_Managers
69,47,Complex Problem Solving,34,Construction_Managers
69,28,Management of Personnel Resources,54,Construction_Managers
53,28,Persuasion,39,Construction_Managers
72,50,Critical Thinking,37,Construction_Managers
66,31,Negotiation,51,Construction_Managers
47,38,Learning Strategies,26,Construction_Managers
47,38,Instructing,27,Construction_Managers
80,62,English Language,37,Construction_Managers
38,38,Telecommunications,20,Construction_Managers
72,50,Speaking,43,Construction_Managers
72,47,Active Listening,47,Construction_Managers
66,44,Active Learning,45,Construction_Managers
60,44,Writing,40,Construction_Managers
50,41,Quality Control Analysis,34,Construction_Managers
69,50,Reading Comprehension,45,Construction_Managers
69,47,Coordination,49,Construction_Managers
50,44,Service Orientation,34,Construction_Managers
60,44,Social Perceptiveness,45,Construction_Managers
0,16,Installation,46,Construction_Managers
37,29,Communications and Media,39,Construction_Managers
66,50,Monitoring,48,Construction_Managers
60,25,Management of Financial Resources,68,Construction_Managers
56,25,Management of Material Resources,65,Construction_Managers
76,39,Administration and Management,72,Construction_Managers
4,1,Fine Arts,39,Construction_Managers
25,50,Troubleshooting,62,Construction_Managers
44,24,Personnel and Human Resources,58,Construction_Managers
9,5,History and Archeology,43,Construction_Managers
6,6,Philosophy and Theology,40,Construction_Managers
38,19,Physics,60,Construction_Managers
12,7,Therapy and Counseling,47,Construction_Managers
69,53,Time Management,59,Construction_Managers
11,11,Sociology and Anthropology,44,Construction_Managers
41,25,Sales and Marketing,61,Construction_Managers
50,18,Economics and Accounting,78,Construction_Managers
16,9,Biology,54,Construction_Managers
3,31,Equipment Selection,76,Construction_Managers
9,15,Foreign Language,55,Construction_Managers
44,22,Production and Processing,72,Construction_Managers
95,15,Building and Construction,131,Construction_Managers
6,14,Medicine and Dentistry,60,Construction_Managers
64,67,Customer and Personal Service,56,Construction_Managers
1,16,Food Production,69,Construction_Managers
45,46,Education and Training,56,Construction_Managers
27,27,Chemistry,56,Construction_Managers
32,30,Psychology,59,Construction_Managers
50,32,Clerical,76,Construction_Managers
48,39,Law and Government,68,Construction_Managers
44,69,Operation Monitoring,85,Construction_Managers
26,49,Geography,84,Construction_Managers
0,47,Equipment Maintenance,109,Construction_Managers
0,47,Repairing,110,Construction_Managers
28,72,Operation and Control,108,Construction_Managers
61,55,Mechanical,71,Construction_Managers
61,68,Public Safety and Security,73,Construction_Managers
36,75,Transportation,106,Construction_Managers
