id_selected,imp,skill_id,rank
26,97.0,52,1.0
27,75.0,33,4.0
27,75.0,43,5.0
27,75.0,25,2.0
27,75.0,56,3.0
27,78.0,55,1.0
28,75.0,25,5.0
28,78.0,15,4.0
28,83.0,55,3.0
28,85.0,28,2.0
28,96.0,37,1.0
29,72.0,67,5.0
29,72.0,51,4.0
29,74.0,2,3.0
29,78.0,25,2.0
29,94.0,55,1.0
30,72.0,25,3.0
30,72.0,51,4.0
30,72.0,24,5.0
30,74.0,55,2.0
30,83.0,48,1.0
31,79.0,2,5.0
31,81.0,25,4.0
31,86.0,55,3.0
31,88.0,40,2.0
31,91.0,67,1.0
32,72.0,25,5.0
32,75.0,24,4.0
32,77.0,6,3.0
32,78.0,16,2.0
32,86.0,55,1.0
33,75.0,25,4.0
33,75.0,51,5.0
33,79.0,67,3.0
33,81.0,58,2.0
33,95.0,60,1.0
34,75.0,25,5.0
34,78.0,51,4.0
34,80.0,55,3.0
34,81.0,40,1.0
34,81.0,16,2.0
35,74.0,37,5.0
35,75.0,15,4.0
35,78.0,28,3.0
35,81.0,67,1.0
35,81.0,16,2.0
36,76.0,67,5.0
36,78.0,16,4.0
36,83.0,55,3.0
36,87.0,37,2.0
36,88.0,25,1.0
37,78.0,16,4.0
37,78.0,7,5.0
37,83.5,55,3.0
37,90.0,6,2.0
37,94.0,4,1.0
38,73.0,2,5.0
38,75.0,15,3.0
38,75.0,28,4.0
38,83.0,37,2.0
38,84.0,55,1.0
39,78.0,16,5.0
39,80.0,55,4.0
39,81.0,15,2.0
39,81.0,28,3.0
39,83.0,37,1.0
40,81.0,33,5.0
40,83.0,55,4.0
40,85.0,25,3.0
40,91.0,16,2.0
40,99.0,39,1.0
41,72.0,51,5.0
41,73.0,13,4.0
41,75.0,1,1.0
41,75.0,16,3.0
41,75.0,24,2.0
42,85.0,25,3.0
42,85.0,55,4.0
42,85.0,16,5.0
42,91.0,58,2.0
42,95.0,2,1.0
43,75.0,25,3.0
43,75.0,16,5.0
43,75.0,24,4.0
43,81.0,15,2.0
43,85.0,37,1.0
44,78.0,43,5.0
44,78.0,25,4.0
44,80.0,2,3.0
44,83.0,67,2.0
44,86.0,60,1.0
45,75.0,37,5.0
45,76.0,2,4.0
45,77.0,67,3.0
45,78.0,25,2.0
45,90.0,58,1.0
46,72.0,25,3.0
46,72.0,51,4.0
46,72.0,24,5.0
46,74.0,17,2.0
46,85.0,31,1.0
47,58.0,40,4.0
47,58.0,55,5.0
47,60.0,16,3.0
47,63.0,22,2.0
47,71.0,67,1.0
48,73.5,51,5.0
48,77.0,45,4.0
48,80.5,61,3.0
48,83.0,13,2.0
48,85.5,21,1.0
49,78.0,25,4.0
49,78.0,51,5.0
49,81.0,55,3.0
49,82.0,40,2.0
49,84.0,67,1.0
50,84.0,42,4.0
50,84.0,45,5.0
50,90.0,61,3.0
50,92.0,13,2.0
50,97.0,21,1.0
51,72.0,51,5.0
51,75.0,25,4.0
51,77.0,67,3.0
51,78.0,24,2.0
51,82.0,60,1.0
52,73.0,67,5.0
52,74.0,40,4.0
52,75.0,55,3.0
52,75.0,51,2.0
52,94.0,20,1.0
53,78.0,24,4.0
53,78.0,7,5.0
53,79.0,55,3.0
53,86.0,36,2.0
53,88.0,34,1.0
54,81.0,25,5.0
54,82.0,40,4.0
54,86.0,55,3.0
54,95.0,52,2.0
54,98.0,2,1.0
55,79.0,37,5.0
55,81.0,18,3.0
55,81.0,1,4.0
55,88.0,16,2.0
55,91.0,15,1.0
56,75.0,25,5.0
56,78.0,14,4.0
56,83.0,55,3.0
56,87.0,67,2.0
56,93.0,49,1.0
57,75.0,51,3.0
57,75.0,21,4.0
57,75.0,45,5.0
57,77.0,55,2.0
57,82.0,13,1.0
58,72.0,25,5.0
58,72.0,3,4.0
58,76.0,40,3.0
58,87.0,55,2.0
58,96.0,49,1.0
59,78.0,66,5.0
59,81.0,43,4.0
59,94.0,25,3.0
59,97.0,2,2.0
59,100.0,58,1.0
60,71.45454545,24,5.0
60,72.0,51,4.0
60,73.90909091,61,3.0
60,78.0,13,2.0
60,88.63636364,21,1.0
61,78.0,25,5.0
61,81.0,15,3.0
61,81.0,28,4.0
61,92.0,55,2.0
61,99.0,37,1.0
62,75.0,1,5.0
62,75.0,25,3.0
62,75.0,56,4.0
62,81.0,67,2.0
62,87.0,40,1.0
63,78.0,55,5.0
63,78.0,51,4.0
63,80.33333333,34,3.0
63,81.33333333,24,2.0
63,94.66666667,36,1.0
64,75.0,25,5.0
64,78.0,43,4.0
64,84.0,67,2.0
64,84.0,55,3.0
64,86.0,49,1.0
65,72.0,25,4.0
65,72.0,48,5.0
65,80.0,22,3.0
65,87.0,61,2.0
65,87.0,41,1.0
66,72.0,27,5.0
66,73.0,37,4.0
66,79.0,55,3.0
66,82.0,13,2.0
66,90.0,48,1.0
67,85.0,27,3.0
67,85.0,51,4.0
67,85.0,16,5.0
67,88.0,66,2.0
67,94.0,40,1.0
68,75.0,25,5.0
68,82.0,67,3.0
68,82.0,55,4.0
68,86.0,37,2.0
68,88.0,40,1.0
69,66.0,25,4.0
69,66.0,51,5.0
69,66.5,48,3.0
69,75.5,55,2.0
69,92.5,22,1.0
70,72.0,51,5.0
70,72.0,56,4.0
70,75.0,25,2.0
70,75.0,16,3.0
70,85.0,12,1.0
71,73.0,51,5.0
71,74.0,25,4.0
71,74.33333333,55,3.0
71,77.33333333,26,2.0
71,79.33333333,67,1.0
72,70.0,51,5.0
72,71.0,24,4.0
72,72.0,25,2.0
72,72.0,16,3.0
72,78.66666667,67,1.0
73,75.0,25,4.0
73,75.0,16,5.0
73,78.0,15,3.0
73,94.0,55,2.0
73,94.0,37,1.0
74,82.0,61,5.0
74,84.0,45,4.0
74,94.0,13,3.0
74,94.0,44,2.0
74,100.0,21,1.0
75,75.0,40,5.0
75,78.0,24,4.0
75,82.0,13,3.0
75,84.0,61,2.0
75,97.0,21,1.0
76,76.0,45,5.0
76,78.0,51,3.0
76,78.0,61,4.0
76,81.0,13,2.0
76,94.0,21,1.0
77,72.0,40,5.0
77,72.0,25,4.0
77,75.0,16,3.0
77,75.0,24,2.0
77,78.0,7,1.0
78,81.0,55,4.0
78,81.0,24,5.0
78,84.0,13,3.0
78,84.0,44,2.0
78,88.0,21,1.0
79,75.0,67,4.0
79,75.0,51,3.0
79,75.0,16,5.0
79,89.0,29,2.0
79,93.0,61,1.0
80,66.0,1,5.0
80,67.0,60,4.0
80,68.0,55,3.0
80,69.0,25,2.0
80,75.0,67,1.0
81,76.0,55,5.0
81,81.0,61,4.0
81,83.0,13,3.0
81,86.0,29,2.0
81,90.0,21,1.0
82,73.0,51,5.0
82,74.33333333,2,4.0
82,74.33333333,55,3.0
82,75.0,67,2.0
82,93.0,60,1.0
83,75.0,3,5.0
83,78.0,24,3.0
83,78.0,34,4.0
83,84.0,55,2.0
83,88.0,36,1.0
84,78.0,34,5.0
84,82.0,13,4.0
84,87.0,21,3.0
84,87.0,44,2.0
84,88.0,45,1.0
85,75.0,51,5.0
85,82.0,13,3.0
85,82.0,45,4.0
85,87.0,44,2.0
85,91.0,21,1.0
86,72.0,66,5.0
86,72.0,56,4.0
86,72.0,3,3.0
86,75.0,25,1.0
86,75.0,51,2.0
87,78.0,2,3.0
87,78.0,58,5.0
87,78.0,24,4.0
87,84.0,67,2.0
87,91.0,60,1.0
88,67.0,22,5.0
88,69.0,25,4.0
88,71.0,48,3.0
88,80.0,49,2.0
88,84.0,67,1.0
89,73.2,24,5.0
89,73.8,25,4.0
89,75.6,16,3.0
89,78.4,55,2.0
89,84.2,41,1.0
90,75.0,25,4.0
90,75.0,51,5.0
90,78.0,67,3.0
90,83.0,29,2.0
90,98.0,61,1.0
91,75.0,25,4.0
91,75.0,51,5.0
91,77.0,36,3.0
91,78.0,67,2.0
91,96.0,60,1.0
92,75.0,25,4.0
92,75.0,16,5.0
92,79.0,41,3.0
92,84.0,55,2.0
92,86.0,49,1.0
93,75.0,1,5.0
93,75.0,25,2.0
93,75.0,51,4.0
93,75.0,56,3.0
93,81.0,17,1.0
94,75.0,43,4.0
94,75.0,37,3.0
94,75.0,16,5.0
94,79.0,67,2.0
94,90.0,39,1.0
95,75.0,27,5.0
95,76.0,61,4.0
95,78.0,13,3.0
95,92.0,48,2.0
95,98.0,21,1.0
96,79.0,55,5.0
96,83.0,36,3.0
96,83.0,45,4.0
96,84.0,44,2.0
96,91.0,34,1.0
97,74.0,36,5.0
97,75.0,25,4.0
97,77.0,67,3.0
97,78.0,55,2.0
97,84.0,60,1.0
98,70.0,37,5.0
98,71.0,2,4.0
98,71.0,55,3.0
98,72.0,25,2.0
98,77.0,67,1.0
99,81.0,24,5.0
99,88.0,2,4.0
99,89.0,58,3.0
99,91.0,25,1.0
99,91.0,16,2.0
100,74.0,25,4.0
100,74.0,55,5.0
100,75.0,24,3.0
100,77.0,51,2.0
100,88.0,21,1.0
101,74.0,42,5.0
101,75.0,24,4.0
101,77.0,13,3.0
101,84.0,12,2.0
101,86.0,21,1.0
102,75.0,25,4.0
102,75.0,56,5.0
102,81.0,40,3.0
102,83.0,67,2.0
102,90.0,20,1.0
103,69.0,25,4.0
103,69.0,51,5.0
103,70.0,36,3.0
103,77.0,55,2.0
103,81.0,67,1.0
104,75.0,1,5.0
104,75.0,51,4.0
104,77.0,67,3.0
104,88.0,40,2.0
104,95.0,12,1.0
105,72.0,25,4.0
105,72.0,51,5.0
105,75.0,24,3.0
105,77.0,21,2.0
105,85.0,42,1.0
106,72.0,66,3.0
106,72.0,51,2.0
106,72.0,24,4.0
106,72.0,38,5.0
106,98.0,48,1.0
107,63.0,25,5.0
107,63.0,3,4.0
107,66.0,27,3.0
107,72.0,51,2.0
107,87.0,48,1.0
108,72.0,25,4.0
108,72.0,51,5.0
108,75.0,55,3.0
108,75.0,56,2.0
108,76.0,40,1.0
109,72.0,34,5.0
109,75.0,25,2.0
109,75.0,51,3.0
109,75.0,24,4.0
109,82.0,55,1.0
110,78.0,25,5.0
110,79.0,55,4.0
110,80.0,67,3.0
110,96.0,58,2.0
110,97.0,2,1.0
111,85.0,24,5.0
111,87.0,55,4.0
111,91.0,25,2.0
111,91.0,16,3.0
111,93.0,31,1.0
112,69.0,61,5.0
112,70.0,67,3.0
112,70.0,12,4.0
112,71.0,49,2.0
112,72.0,22,1.0
113,75.0,25,5.0
113,78.0,27,3.0
113,78.0,51,4.0
113,88.0,30,2.0
113,93.0,13,1.0
114,75.0,25,4.0
114,75.0,24,5.0
114,76.0,67,3.0
114,78.0,51,2.0
114,94.0,48,1.0
115,72.0,25,5.0
115,75.0,42,4.0
115,79.0,12,3.0
115,87.0,21,2.0
115,95.0,61,1.0
116,81.0,51,5.0
116,82.0,61,4.0
116,84.0,13,3.0
116,84.0,48,2.0
116,97.0,21,1.0
117,75.0,25,3.0
117,75.0,16,5.0
117,75.0,24,4.0
117,81.0,55,2.0
117,83.0,67,1.0
118,79.0,55,5.0
118,81.0,34,4.0
118,84.0,67,3.0
118,88.0,36,2.0
118,93.0,60,1.0
119,72.0,25,5.0
119,78.5,41,4.0
119,81.0,24,3.0
119,87.5,7,2.0
119,95.5,55,1.0
120,75.0,43,5.0
120,75.0,25,4.0
120,78.0,40,3.0
120,83.0,41,2.0
120,84.0,55,1.0
121,75.0,25,5.0
121,78.0,16,4.0
121,78.0,24,3.0
121,82.0,55,2.0
121,93.0,31,1.0
122,69.0,51,5.0
122,72.0,25,2.0
122,72.0,16,3.0
122,72.0,7,4.0
122,86.0,67,1.0
123,75.0,27,4.0
123,75.0,25,3.0
123,75.0,51,5.0
123,83.0,55,2.0
123,90.0,20,1.0
124,78.0,3,5.0
124,81.0,34,4.0
124,84.0,48,3.0
124,98.0,13,2.0
124,100.0,45,1.0
125,69.0,57,5.0
125,72.0,51,2.0
125,72.0,53,3.0
125,72.0,50,4.0
125,83.0,42,1.0
126,72.0,38,4.0
126,72.0,10,5.0
126,75.0,35,3.0
126,76.0,21,2.0
126,99.0,48,1.0
127,61.0,22,5.0
127,65.0,12,4.0
127,72.0,55,3.0
127,81.0,48,2.0
127,84.0,61,1.0
128,72.0,1,5.0
128,72.0,25,4.0
128,75.0,16,3.0
128,78.0,43,2.0
128,80.0,2,1.0
129,76.0,67,5.0
129,77.0,55,4.0
129,78.0,25,3.0
129,82.0,29,2.0
129,94.0,61,1.0
130,75.0,25,4.0
130,75.0,51,5.0
130,78.0,16,3.0
130,85.0,55,2.0
130,87.0,37,1.0
131,75.0,27,3.0
131,75.0,51,4.0
131,75.0,24,5.0
131,95.0,13,2.0
131,100.0,30,1.0
132,62.0,49,5.0
132,64.0,12,4.0
132,72.0,16,3.0
132,75.0,25,2.0
132,77.0,67,1.0
133,70.66666667,36,5.0
133,72.0,51,3.0
133,72.0,16,4.0
133,72.33333333,12,2.0
133,78.33333333,40,1.0
134,74.0,37,4.0
134,74.0,64,5.0
134,75.0,67,2.0
134,75.0,17,3.0
134,78.0,51,1.0
135,75.0,51,5.0
135,84.0,17,4.0
135,84.0,55,3.0
135,85.0,60,2.0
135,88.0,67,1.0
136,72.0,25,5.0
136,81.0,7,4.0
136,88.0,41,3.0
136,95.0,55,2.0
136,97.0,24,1.0
137,72.0,51,5.0
137,75.0,25,3.0
137,75.0,16,4.0
137,83.0,67,2.0
137,100.0,60,1.0
138,70.0,64,5.0
138,72.0,25,3.0
138,72.0,16,4.0
138,86.0,67,1.0
138,86.0,49,2.0
139,77.0,55,5.0
139,78.0,2,3.0
139,78.0,33,4.0
139,83.0,67,2.0
139,90.0,60,1.0
140,75.0,25,5.0
140,78.0,24,4.0
140,79.0,37,3.0
140,86.0,55,2.0
140,100.0,4,1.0
141,78.0,51,5.0
141,80.0,55,4.0
141,81.0,16,3.0
141,88.0,25,2.0
141,91.0,47,1.0
142,77.0,13,5.0
142,77.0,44,4.0
142,82.0,55,3.0
142,85.0,34,2.0
142,91.0,36,1.0
143,75.0,43,4.0
143,75.0,1,3.0
143,75.0,25,2.0
143,75.0,16,5.0
143,83.0,67,1.0
144,69.0,40,5.0
144,82.0,55,4.0
144,83.0,20,3.0
144,85.0,17,2.0
144,91.0,67,1.0
145,72.0,25,4.0
145,72.0,51,5.0
145,73.0,55,3.0
145,82.0,60,2.0
145,83.0,67,1.0
146,75.0,25,5.0
146,78.0,7,4.0
146,81.0,16,3.0
146,94.0,55,2.0
146,94.0,41,1.0
147,75.0,66,4.0
147,75.0,24,5.0
147,76.5,40,2.0
147,76.5,51,3.0
147,84.5,26,1.0
148,75.0,25,5.0
148,78.0,34,4.0
148,87.0,45,3.0
148,88.0,13,2.0
148,96.0,21,1.0
149,72.0,25,5.0
149,76.0,40,3.0
149,76.0,21,4.0
149,80.0,55,2.0
149,95.0,29,1.0
150,53.0,43,5.0
150,53.0,56,4.0
150,59.5,25,3.0
150,65.5,55,2.0
150,81.5,22,1.0
151,75.0,18,5.0
151,75.0,66,4.0
151,75.0,25,3.0
151,77.0,49,2.0
151,80.0,55,1.0
152,71.0,40,4.0
152,71.0,55,5.0
152,72.0,25,2.0
152,72.0,51,3.0
152,92.0,67,1.0
153,72.0,25,5.0
153,76.0,36,4.0
153,81.0,59,3.0
153,87.0,44,2.0
153,89.0,12,1.0
154,73.0,51,5.0
154,74.5,25,3.0
154,74.5,24,4.0
154,78.5,31,2.0
154,80.66666667,55,1.0
155,78.0,67,5.0
155,79.0,55,4.0
155,79.0,36,3.0
155,87.0,17,2.0
155,90.0,31,1.0
156,71.0,48,5.0
156,73.0,22,4.0
156,80.0,55,3.0
156,82.0,41,2.0
156,84.0,61,1.0
157,71.0,52,5.0
157,72.0,33,4.0
157,74.0,55,3.0
157,85.0,40,2.0
157,91.0,67,1.0
158,60.0,51,5.0
158,63.0,67,1.0
158,63.0,33,3.0
158,63.0,1,2.0
158,63.0,16,4.0
159,64.0,2,5.0
159,69.0,33,4.0
159,70.0,37,3.0
159,75.0,15,2.0
159,76.0,67,1.0
160,75.0,18,5.0
160,75.0,51,4.0
160,75.0,56,3.0
160,76.0,40,2.0
160,90.0,67,1.0
161,60.0,51,4.0
161,60.0,53,5.0
161,61.0,42,3.0
161,63.0,1,2.0
161,66.0,25,1.0
162,75.0,25,4.0
162,75.0,51,5.0
162,78.5,55,3.0
162,93.0,31,2.0
162,94.0,17,1.0
163,75.0,16,5.0
163,75.0,24,4.0
163,78.0,33,3.0
163,78.0,25,2.0
163,81.0,67,1.0
164,69.0,67,5.0
164,69.0,56,4.0
164,72.0,1,3.0
164,74.0,12,2.0
164,91.0,59,1.0
165,63.0,16,5.0
165,63.0,28,4.0
165,65.0,37,3.0
165,69.0,15,2.0
165,76.0,67,1.0
166,75.0,25,4.0
166,75.0,24,5.0
166,91.0,55,2.0
166,91.0,16,3.0
166,97.0,41,1.0
167,72.0,25,5.0
167,76.0,13,4.0
167,76.0,61,3.0
167,82.0,48,2.0
167,91.0,21,1.0
168,75.0,51,4.0
168,75.0,24,5.0
168,76.0,13,3.0
168,81.0,34,2.0
168,94.0,44,1.0
169,72.0,17,5.0
169,77.0,2,4.0
169,80.0,55,3.0
169,86.0,60,2.0
169,87.0,67,1.0
170,84.0,55,5.0
170,85.0,30,4.0
170,88.0,34,3.0
170,94.0,13,2.0
170,97.0,45,1.0
171,66.0,33,5.0
171,67.0,49,4.0
171,69.0,16,3.0
171,72.0,25,2.0
171,86.0,67,1.0
172,78.0,7,5.0
172,81.0,25,3.0
172,81.0,24,4.0
172,91.0,41,2.0
172,99.0,55,1.0
173,78.0,66,5.0
173,78.0,51,4.0
173,80.0,20,3.0
173,81.0,16,2.0
173,85.0,25,1.0
174,53.0,15,5.0
174,53.0,3,4.0
174,60.0,56,3.0
174,63.0,25,2.0
174,86.0,22,1.0
175,72.0,51,5.0
175,73.0,55,3.0
175,73.0,45,4.0
175,75.0,36,2.0
175,92.0,67,1.0
176,69.0,25,5.0
176,71.0,13,4.0
176,72.0,24,3.0
176,74.0,21,2.0
176,97.0,48,1.0
177,78.0,25,3.0
177,78.0,51,4.0
177,78.0,24,5.0
177,84.0,55,2.0
177,86.0,40,1.0
178,56.0,1,3.0
178,56.0,16,5.0
178,56.0,24,4.0
178,60.0,55,2.0
178,66.0,59,1.0
179,72.0,40,5.0
179,75.0,25,3.0
179,75.0,24,4.0
179,79.0,31,2.0
179,83.0,55,1.0
180,75.0,33,5.0
180,75.0,25,4.0
180,80.0,55,3.0
180,82.0,67,2.0
180,86.0,2,1.0
181,60.0,25,5.0
181,65.0,55,4.0
181,66.0,16,3.0
181,81.0,37,2.0
181,82.0,67,1.0
182,66.0,25,5.0
182,69.0,21,4.0
182,70.0,67,3.0
182,71.0,41,2.0
182,86.0,48,1.0
183,75.0,25,4.0
183,75.0,51,5.0
183,83.0,36,3.0
183,88.0,67,2.0
183,93.0,60,1.0
184,75.0,27,4.0
184,75.0,66,5.0
184,76.0,61,3.0
184,78.0,51,2.0
184,90.0,21,1.0
185,80.0,58,5.0
185,80.0,55,4.0
185,84.0,2,3.0
185,93.0,36,2.0
185,98.0,60,1.0
186,72.0,43,5.0
186,72.0,25,3.0
186,72.0,55,4.0
186,75.0,15,2.0
186,77.0,37,1.0
187,69.0,55,5.0
187,69.0,61,4.0
187,73.0,13,3.0
187,82.0,42,2.0
187,83.0,29,1.0
188,75.0,25,4.0
188,75.0,16,5.0
188,78.0,24,3.0
188,81.0,13,2.0
188,95.0,21,1.0
189,69.0,24,5.0
189,72.0,51,4.0
189,75.0,55,3.0
189,77.0,61,2.0
189,82.0,48,1.0
190,75.0,43,5.0
190,75.0,1,4.0
190,75.0,25,2.0
190,75.0,56,3.0
190,84.0,40,1.0
191,75.0,27,3.0
191,75.0,25,2.0
191,75.0,51,4.0
191,75.0,31,5.0
191,79.0,55,1.0
192,71.0,40,5.0
192,72.0,25,4.0
192,73.5,37,3.0
192,74.5,67,2.0
192,82.0,17,1.0
193,78.0,25,4.0
193,78.0,51,5.0
193,81.0,55,2.0
193,81.0,24,3.0
193,81.0,26,1.0
194,71.0,67,5.0
194,72.0,25,2.0
194,72.0,56,4.0
194,72.0,29,3.0
194,73.0,12,1.0
195,75.0,25,5.0
195,78.0,16,4.0
195,78.0,15,3.0
195,86.0,37,2.0
195,90.0,55,1.0
196,75.0,56,5.0
196,78.0,25,3.0
196,78.0,16,4.0
196,99.0,55,2.0
196,99.0,41,1.0
197,69.0,25,3.0
197,69.0,29,4.0
197,69.0,53,5.0
197,72.0,51,2.0
197,77.0,42,1.0
198,69.0,51,5.0
198,70.0,61,4.0
198,76.0,67,3.0
198,79.0,17,2.0
198,84.0,29,1.0
199,75.0,25,5.0
199,76.0,64,4.0
199,94.0,20,3.0
199,94.0,53,2.0
199,97.0,50,1.0
200,75.0,25,5.0
200,78.0,16,4.0
200,85.0,15,3.0
200,87.0,37,2.0
200,91.0,55,1.0
201,78.0,3,5.0
201,81.0,51,3.0
201,81.0,24,4.0
201,83.0,55,2.0
201,85.0,34,1.0
202,80.0,26,5.0
202,81.0,66,3.0
202,81.0,51,2.0
202,81.0,30,4.0
202,99.0,13,1.0
203,66.0,51,4.0
203,66.0,16,5.0
203,67.0,17,3.0
203,69.0,25,2.0
203,70.0,31,1.0
204,75.0,25,4.0
204,75.0,11,5.0
204,78.0,33,3.0
204,82.0,55,2.0
204,89.0,67,1.0
205,75.0,51,4.0
205,75.0,24,5.0
205,76.0,48,3.0
205,97.0,30,2.0
205,100.0,13,1.0
206,75.0,51,5.0
206,89.0,13,4.0
206,92.0,61,3.0
206,99.0,48,1.0
206,99.0,21,2.0
207,75.0,25,2.0
207,75.0,16,4.0
207,75.0,24,3.0
207,75.0,7,5.0
207,85.0,55,1.0
208,68.16666667,67,5.0
208,69.0,25,3.0
208,69.0,51,4.0
208,70.0,24,2.0
208,74.0,55,1.0
209,75.0,24,5.0
209,78.0,51,4.0
209,83.0,13,3.0
209,85.0,55,2.0
209,92.0,26,1.0
210,69.0,51,5.0
210,72.0,25,2.0
210,72.0,55,3.0
210,72.0,60,4.0
210,82.0,67,1.0
211,78.0,55,3.0
211,78.0,16,5.0
211,78.0,14,4.0
211,83.0,49,2.0
211,88.0,67,1.0
212,66.27272727,42,5.0
212,66.81818182,48,4.0
212,67.0,51,3.0
212,70.36363636,13,2.0
212,81.45454545,21,1.0
213,75.0,16,5.0
213,75.0,24,4.0
213,76.0,37,3.0
213,79.0,55,2.0
213,100.0,64,1.0
214,71.0,37,5.0
214,72.0,25,3.0
214,72.0,24,4.0
214,73.0,55,2.0
214,75.0,16,1.0
215,75.0,51,5.0
215,78.0,55,4.0
215,83.0,2,2.0
215,83.0,17,3.0
215,83.0,31,1.0
216,68.0,21,5.0
216,69.0,3,4.0
216,72.0,25,1.0
216,72.0,51,2.0
216,72.0,24,3.0
217,72.33333333,25,5.0
217,73.33333333,16,4.0
217,74.0,24,3.0
217,74.33333333,51,2.0
217,76.44444444,55,1.0
218,63.0,33,5.0
218,63.0,51,4.0
218,68.0,17,3.0
218,72.0,55,2.0
218,74.0,67,1.0
219,78.0,25,5.0
219,81.0,16,4.0
219,81.0,14,3.0
219,83.0,49,2.0
219,86.0,67,1.0
220,75.0,16,5.0
220,75.0,24,4.0
220,78.0,55,2.0
220,78.0,15,3.0
220,81.0,37,1.0
221,71.0,25,4.0
221,71.0,51,5.0
221,73.0,53,3.0
221,76.33333333,50,2.0
221,79.66666667,20,1.0
222,66.0,33,4.0
222,66.0,25,3.0
222,66.0,16,5.0
222,68.0,55,2.0
222,70.0,67,1.0
223,75.0,57,3.0
223,75.0,32,4.0
223,75.0,62,5.0
223,76.0,48,2.0
223,84.0,42,1.0
224,63.0,56,5.0
224,66.0,25,4.0
224,68.0,40,3.0
224,75.0,49,2.0
224,87.0,67,1.0
225,67.0,55,5.0
225,68.0,40,4.0
225,69.0,25,2.0
225,69.0,51,3.0
225,72.0,16,1.0
226,72.0,43,5.0
226,75.0,25,3.0
226,75.0,16,4.0
226,81.0,1,2.0
226,92.0,67,1.0
227,63.0,33,5.0
227,63.0,25,4.0
227,66.0,16,3.0
227,70.0,55,2.0
227,88.0,67,1.0
228,69.0,25,3.0
228,69.0,51,4.0
228,69.0,14,5.0
228,71.0,49,2.0
228,75.0,47,1.0
229,69.0,25,5.0
229,70.0,55,4.0
229,72.0,51,3.0
229,75.0,24,2.0
229,86.0,36,1.0
230,72.0,25,4.0
230,72.0,24,5.0
230,75.0,16,3.0
230,77.0,60,2.0
230,84.0,67,1.0
231,72.0,51,5.0
231,75.0,25,2.0
231,75.0,55,3.0
231,75.0,34,4.0
