id_selected,imp,skill_id,rank
0,78.0,33,4.0
0,78.0,43,5.0
0,79.0,67,3.0
0,80.0,58,2.0
0,87.0,2,1.0
1,75.0,40,3.0
1,75.0,18,4.0
1,75.0,1,5.0
1,80.0,67,2.0
1,82.0,42,1.0
2,78.0,33,5.0
2,78.0,66,4.0
2,81.0,27,3.0
2,85.0,40,2.0
2,86.0,17,1.0
3,82.0,4,5.0
3,85.0,67,4.0
3,85.0,25,3.0
3,92.0,58,2.0
3,96.0,2,1.0
4,75.0,25,4.0
4,75.0,51,5.0
4,78.0,58,3.0
4,84.0,55,2.0
4,86.0,67,1.0
5,78.0,55,5.0
5,79.0,37,4.0
5,82.0,60,3.0
5,91.0,2,1.0
5,91.0,58,2.0
6,72.0,25,4.0
6,72.0,51,5.0
6,75.0,16,3.0
6,80.0,60,2.0
6,81.0,67,1.0
7,81.0,25,5.0
7,86.0,67,4.0
7,87.0,55,3.0
7,99.0,2,2.0
7,100.0,58,1.0
8,78.0,27,5.0
8,83.0,67,4.0
8,85.0,55,3.0
8,85.0,36,2.0
8,100.0,60,1.0
9,74.0,40,5.0
9,75.0,1,4.0
9,75.0,51,3.0
9,78.0,67,2.0
9,86.5,17,1.0
10,78.0,36,4.0
10,78.0,24,5.0
10,80.0,55,3.0
10,81.0,37,2.0
10,83.0,67,1.0
11,83.0,13,5.0
11,89.0,67,4.0
11,91.0,52,3.0
11,93.0,40,1.0
11,93.0,55,2.0
12,75.0,56,4.0
12,75.0,15,5.0
12,78.0,25,2.0
12,78.0,16,3.0
12,97.0,22,1.0
13,75.0,51,4.0
13,75.0,24,5.0
13,77.0,67,3.0
13,81.0,14,2.0
13,82.0,49,1.0
14,78.0,28,5.0
14,81.0,16,4.0
14,85.0,24,3.0
14,94.0,55,2.0
14,98.0,37,1.0
15,91.0,58,5.0
15,91.0,51,3.0
15,91.0,24,4.0
15,97.0,25,2.0
15,100.0,2,1.0
16,76.0,40,4.0
16,76.0,55,5.0
16,78.0,25,3.0
16,94.0,17,2.0
16,96.0,31,1.0
17,75.0,25,5.0
17,78.0,66,4.0
17,78.0,51,3.0
17,81.0,67,2.0
17,100.0,60,1.0
18,78.0,28,5.0
18,81.0,16,4.0
18,81.0,15,3.0
18,85.0,55,2.0
18,85.0,37,1.0
19,78.0,51,3.0
19,78.0,60,4.0
19,78.0,34,5.0
19,79.0,55,2.0
19,87.0,36,1.0
20,85.0,25,5.0
20,86.0,67,4.0
20,91.0,40,3.0
20,92.0,37,2.0
20,93.0,55,1.0
21,75.0,25,4.0
21,75.0,51,5.0
21,82.0,55,3.0
21,83.0,67,2.0
21,94.0,60,1.0
22,83.33333333,16,5.0
22,89.0,25,4.0
22,89.66666667,43,3.0
22,96.0,58,2.0
22,100.0,2,1.0
23,89.0,67,5.0
23,94.0,43,4.0
23,97.0,25,3.0
23,98.0,58,2.0
23,99.0,2,1.0
24,69.0,51,5.0
24,72.0,12,4.0
24,73.0,55,3.0
24,74.0,13,2.0
24,80.0,61,1.0
25,72.0,25,4.0
25,72.0,51,5.0
25,74.0,55,3.0
25,90.0,22,2.0
25,97.0,61,1.0
26,75.0,43,5.0
26,75.0,18,4.0
26,75.0,25,3.0
26,76.0,40,2.0
