job_compared,job_selected,skills,difference,job_compared_name
0,3,Programming,3,Choreographers
19,32,Computers and Electronics,14,Choreographers
5,19,Engineering and Technology,16,Choreographers
38,25,Systems Analysis,16,Choreographers
10,0,Science,14,Choreographers
41,28,Systems Evaluation,18,Choreographers
39,15,Design,30,Choreographers
44,22,Operations Analysis,29,Choreographers
19,16,Technology Design,11,Choreographers
28,39,Mathematics,20,Choreographers
66,47,Judgment and Decision Making,29,Choreographers
13,25,Mathematics.1,23,Choreographers
53,47,Complex Problem Solving,18,Choreographers
63,28,Management of Personnel Resources,48,Choreographers
53,28,Persuasion,39,Choreographers
66,50,Critical Thinking,31,Choreographers
56,31,Negotiation,41,Choreographers
60,38,Learning Strategies,39,Choreographers
75,38,Instructing,55,Choreographers
54,62,English Language,27,Choreographers
16,38,Telecommunications,42,Choreographers
78,50,Speaking,49,Choreographers
78,47,Active Listening,53,Choreographers
60,44,Active Learning,39,Choreographers
50,44,Writing,30,Choreographers
3,41,Quality Control Analysis,63,Choreographers
66,50,Reading Comprehension,42,Choreographers
75,47,Coordination,55,Choreographers
56,44,Service Orientation,40,Choreographers
69,44,Social Perceptiveness,54,Choreographers
0,16,Installation,46,Choreographers
50,29,Communications and Media,52,Choreographers
72,50,Monitoring,54,Choreographers
16,25,Management of Financial Resources,42,Choreographers
16,25,Management of Material Resources,43,Choreographers
57,39,Administration and Management,53,Choreographers
97,1,Fine Arts,132,Choreographers
0,50,Troubleshooting,87,Choreographers
39,24,Personnel and Human Resources,53,Choreographers
51,5,History and Archeology,85,Choreographers
43,6,Philosophy and Theology,77,Choreographers
22,19,Physics,44,Choreographers
29,7,Therapy and Counseling,64,Choreographers
72,53,Time Management,62,Choreographers
53,11,Sociology and Anthropology,86,Choreographers
39,25,Sales and Marketing,59,Choreographers
17,18,Economics and Accounting,47,Choreographers
12,9,Biology,50,Choreographers
3,31,Equipment Selection,76,Choreographers
34,15,Foreign Language,68,Choreographers
11,22,Production and Processing,61,Choreographers
11,15,Building and Construction,55,Choreographers
19,14,Medicine and Dentistry,57,Choreographers
28,67,Customer and Personal Service,92,Choreographers
0,16,Food Production,70,Choreographers
68,46,Education and Training,77,Choreographers
5,27,Chemistry,78,Choreographers
62,30,Psychology,89,Choreographers
27,32,Clerical,63,Choreographers
16,39,Law and Government,82,Choreographers
13,69,Operation Monitoring,116,Choreographers
18,49,Geography,92,Choreographers
0,47,Equipment Maintenance,109,Choreographers
0,47,Repairing,110,Choreographers
0,72,Operation and Control,136,Choreographers
8,55,Mechanical,112,Choreographers
13,68,Public Safety and Security,121,Choreographers
20,75,Transportation,122,Choreographers
