auto,wage,number,id,job_name
0.0028,48190,19200,0,Recreational Therapists
0.003,66730,462200,1,"First-Line Supervisors of Mechanics, Installers, and Repairers"
0.003,78060,10100,2,Emergency Management Directors
0.0031,47880,123900,3,Mental Health and Substance Abuse Social Workers
0.0033,79290,14800,4,Audiologists
0.0035,83730,130400,5,Occupational Therapists
0.0035,69920,7800,6,Orthotists and Prosthetists
0.0035,55510,176500,7,Healthcare Social Workers
0.0036,232870,6800,8,Oral and Maxillofacial Surgeons
0.0036,77050,59100,9,First-Line Supervisors of Fire Fighting and Prevention Workers
0.0039,59670,68000,10,Dietitians and Nutritionists
0.0039,59410,47800,11,Lodging Managers
0.004,53610,6900,12,Choreographers
0.0041,108880,74900,13,Sales Engineers
0.0042,65500,163200,14,Instructional Coordinators
0.0043,94650,17400,15,"Psychologists, All Other"
0.0044,88400,104700,16,First-Line Supervisors of Police and Detectives
0.0044,173860,132800,17,"Dentists, General"
0.0044,59020,1410900,18,"Elementary School Teachers, Except Special Education"
0.0045,95000,120000,19,"Medical Scientists, Except Epidemiologists"
0.0046,95390,251300,20,"Education Administrators, Elementary and Secondary School"
0.0046,144110,11000,21,Podiatrists
0.0047,78690,147500,22,"Clinical, Counseling, and School Psychologists"
0.0048,46050,157700,23,Mental Health Counselors
0.0049,48460,5500,24,Fabric and Apparel Patternmakers
0.0055,57600,14600,25,Set and Exhibit Designers
0.0055,120210,136100,26,Human Resources Managers
0.0061,27230,390000,27,Recreation Workers
0.0063,115180,34500,28,Training and Development Managers
0.0064,78210,145100,29,Speech-Language Pathologists
0.0065,91620,600500,30,Computer Systems Analysts
0.0067,70870,147300,31,Social and Community Service Managers
0.0068,58910,12400,32,Curators
0.0071,47880,27800,33,Athletic Trainers
0.0073,109370,352200,34,Medical and Health Services Managers
0.0074,33300,478500,35,"Preschool Teachers, Except Special Education"
0.0075,52150,10400,36,Farm and Home Management Advisors
0.0077,66440,7600,37,Anthropologists and Archeologists
0.0077,64020,131900,38,"Special Education Teachers, Secondary School"
0.0078,61420,1018700,39,"Secondary School Teachers, Except Special and Career/Technical Education"
0.0081,49450,243900,40,Clergy
0.0081,60300,12300,41,Foresters
0.0085,57620,291700,42,"Educational, Guidance, School, and Vocational Counselors"
0.0088,59480,78700,43,"Career/Technical Education Teachers, Secondary School"
0.009,72180,2955200,44,Registered Nurses
0.0094,38740,119300,45,Rehabilitation Counselors
0.0095,60690,15400,46,Forensic Science Technicians
0.01,71590,4800,47,"Makeup Artists, Theatrical and Performance"
0.01,99860,8200,48,Marine Engineers and Naval Architects
0.01,105770,180100,49,"Education Administrators, Postsecondary"
0.011,89800,288800,50,Mechanical Engineers
0.012,120270,312500,51,Pharmacists
0.012,77810,148700,52,Logisticians
0.012,76850,23200,53,Microbiologists
0.012,104570,1700,54,Industrial-Organizational Psychologists
0.013,41000,276100,55,Coaches and Scouts
0.013,135090,385500,56,Sales Managers
0.014,83740,6700,57,Hydrologists
0.014,144140,218300,58,Marketing Managers
0.014,54090,41500,59,Marriage and Family Therapists
0.014,99250,132500,60,"Engineers, All Other"
0.014,63350,282800,61,Training and Development Specialists
0.014,57890,1506300,62,First-Line Supervisors of Office and Administrative Support Workers
0.015,77830,38700,63,"Biological Scientists, All Other"
0.015,123360,73500,64,Public Relations and Fundraising Managers
0.015,72200,73700,65,Multimedia Artists and Animators
0.015,116320,27900,66,Computer and Information Research Scientists
0.015,194350,308900,67,Chief Executives
0.015,52150,61800,68,"Education Administrators, Preschool and Childcare Center/Program"
0.015,60630,74800,69,Music Directors and Composers
0.016,61450,621400,70,First-Line Supervisors of Production and Operating Workers
0.016,102260,375700,71,"Securities, Commodities, and Financial Services Sales Agents"
0.016,65130,22300,72,Conservation Scientists
0.016,61910,89300,73,"Special Education Teachers, Middle School"
0.017,105420,32700,74,Chemical Engineers
0.017,143870,180100,75,Architectural and Engineering Managers
0.017,112010,69600,76,Aerospace Engineers
0.018,136150,56700,77,Natural Sciences Managers
0.018,88530,53800,78,Environmental Engineers
0.018,84470,128800,79,"Architects, Except Landscape and Naval"
0.018,56850,88300,80,Physical Therapist Assistants
0.019,89730,303500,81,Civil Engineers
0.02,84800,56400,82,"Health Diagnosing and Treating Practitioners, All Other"
0.021,69290,19900,83,Soil and Plant Scientists
0.021,101570,7900,84,Materials Scientists
0.021,97050,27000,85,Materials Engineers
0.021,76480,23800,86,Fashion Designers
0.021,87220,239800,87,Physical Therapists
0.021,42640,147300,88,Photographers
0.022,93840,134700,89,Producers and Directors
0.022,56220,66500,90,Interior Designers
0.023,228780,6600,91,Orthodontists
0.023,101170,90300,92,Art Directors
0.025,65100,45200,93,First-Line Supervisors of Correctional Officers
0.025,44840,147100,94,"Directors, Religious Activities and Education"
0.025,103760,136300,95,"Electronics Engineers, Except Computer"
0.027,94340,31500,96,Biochemists and Biophysicists
0.027,81210,47400,97,Chiropractors
0.028,59530,39300,98,Occupational Therapy Assistants
0.028,47510,317600,99,"Child, Family, and School Social Workers"
0.028,90190,25900,100,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
0.029,88530,257900,101,Industrial Engineers
0.029,59800,204200,102,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
0.029,33870,102000,103,Veterinary Technologists and Technicians
0.03,107060,170600,104,Industrial Production Managers
0.03,56920,63900,105,Industrial Engineering Technicians
0.03,84500,391300,106,Network and Computer Systems Administrators
0.03,87130,119500,107,Database Administrators
0.03,117720,73900,108,Purchasing Managers
0.033,75360,89500,109,"Environmental Scientists and Specialists, Including Health"
